Stadium,Capacity,Location,Coordinates,Club,Closed,latitude,longitude
Anfield,61276,Liverpool,"['\ufeff53.43083°N', '2.96083°W']",Liverpool,,53.43083,-2.96083
bet365 Stadium,30089,Stoke-on-Trent,"['\ufeff52.98833°N', '2.17556°W']",Stoke City,,52.98833,-2.17556
Bramall Lane,32050,Sheffield,"['\ufeff53.37028°N', '1.47083°W']",Sheffield United,,53.37028,-1.47083
Gtech Community Stadium,17250,London,"['\ufeff51.4908250°N', '0.2887000°W']",Brentford,,51.490825,-0.2887
Cardiff City Stadium,33280,Cardiff,"['\ufeff51.47278°N', '3.20306°W']",Cardiff City,,51.47278,-3.20306
The City Ground,30404,Nottingham,"['\ufeff52.94000°N', '1.13278°W']",Nottingham Forest,,52.94,-1.13278
Etihad Stadium,52900,Manchester,"['\ufeff53.48306°N', '2.20028°W']",Manchester City,,53.48306,-2.20028
Craven Cottage,24500,London,"['\ufeff51.47500°N', '0.22167°W']",Fulham,,51.475,-0.22167
Vitality Stadium,11307,Bournemouth,"['\ufeff50.73528°N', '1.83833°W']",AFC Bournemouth,,50.73528,-1.83833
Elland Road,37608,Leeds,"['\ufeff53.77778°N', '1.57222°W']",Leeds United,,53.77778,-1.57222
Emirates Stadium,60704,London,"['\ufeff51.55500°N', '0.10861°W']",Arsenal,,51.555,-0.10861
Amex Stadium,31876,Falmer,"['\ufeff50.8618222°N', '0.083278°W']",Brighton & Hove Albion,,50.8618222,-0.083278
Goodison Park,39414,Liverpool,"['\ufeff53.43889°N', '2.96639°W']",Everton,,53.43889,-2.96639
The Hawthorns,26445,West Bromwich,"['\ufeff52.50917°N', '1.96389°W']",West Bromwich Albion,,52.50917,-1.96389
Kenilworth Road,10265,Luton,"['\ufeff51.88417°N', '0.43167°W']",Luton Town,,51.88417,-0.43167
King Power Stadium,32259,Leicester,"['\ufeff52.62028°N', '1.14222°W']",Leicester City,,52.62028,-1.14222
John Smith's Stadium,24500,Huddersfield,"['\ufeff53.65417°N', '1.76833°W']",Huddersfield Town,,53.65417,-1.76833
London Stadium,62500,London,"['\ufeff51.53861°N', '0.01639°W']",West Ham United,,51.53861,-0.01639
Molineux Stadium,31750,Wolverhampton,"['\ufeff52.59028°N', '2.13028°W']",Wolverhampton Wanderers,,52.59028,-2.13028
Old Trafford,74197,Manchester,"['\ufeff53.46306°N', '2.29139°W']",Manchester United,,53.46306,-2.29139
St James' Park,52258,Newcastle upon Tyne,"['\ufeff54.97556°N', '1.62167°W']",Newcastle United,,54.97556,-1.62167
St Mary's Stadium,32384,Southampton,"['\ufeff50.90583°N', '1.39111°W']",Southampton,,50.90583,-1.39111
Selhurst Park,25194,London,"['\ufeff51.39833°N', '0.08556°W']",Crystal Palace,,51.39833,-0.08556
Stamford Bridge,40173,London,"['\ufeff51.48167°N', '0.19111°W']",Chelsea,,51.48167,-0.19111
Swansea.com Stadium,20937,Swansea,"['\ufeff51.64278°N', '3.93472°W']",Swansea City,,51.64278,-3.93472
Tottenham Hotspur Stadium,62850,London,"['\ufeff51.60472°N', '0.06639°W']",Tottenham Hotspur,,51.60472,-0.06639
Turf Moor,21744,Burnley,"['\ufeff53.78917°N', '2.23028°W']",Burnley,,53.78917,-2.23028
Vicarage Road,22200,Watford,"['\ufeff51.65000°N', '0.40167°W']",Watford,,51.65,-0.40167
Villa Park,42918,Birmingham,"['\ufeff52.50917°N', '1.88472°W']",Aston Villa,,52.50917,-1.88472
