"Match","Position","Points"
"1","2","3"
"2","10","3"
"3","14","3"
"4","16","3"
"5","16","4"
"6","13","7"
"7","12","8"
"8","12","9"
"9","8","12"
"10","9","13"
"11","11","13"
"12","14","13"
"13","14","13"
"14","16","13"
"15","13","16"
"16","14","16"
"17","15","16"
"18","15","16"
"19","17","16"
"20","18","17"
"21","19","17"
"22","19","18"
"23","17","21"
"24","19","21"
"25","20","21"
"26","17","24"
"27","19","24"
"28","15","27"
"29","18","27"
"30","15","30"
"31","14","33"
"32","15","33"
"33","14","36"
"34","13","39"
"35","14","39"
"36","14","39"
"37","14","39"
"38","15","39"
