Season,Match,Position,Date
2018_19,1,0.0,2018-08-11
2018_19,2,19.0,2018-08-18
2018_19,3,19.0,2018-08-26
2018_19,4,12.0,2018-09-01
2018_19,5,11.0,2018-09-15
2018_19,6,15.0,2018-09-22
2018_19,7,15.0,2018-09-29
2018_19,8,16.0,2018-10-07
2018_19,9,17.0,2018-10-20
2018_19,10,18.0,2018-10-27
2018_19,11,18.0,2018-11-05
2018_19,12,20.0,2018-11-11
2018_19,13,20.0,2018-11-24
2018_19,14,19.0,2018-12-02
2018_19,15,20.0,2018-12-05
2018_19,16,20.0,2018-12-08
2018_19,17,20.0,2018-12-15
2018_19,18,20.0,2018-12-22
2018_19,19,20.0,2018-12-26
2018_19,20,19.0,2018-12-29
2018_19,21,18.0,2019-01-01
2018_19,22,19.0,2019-01-12
2018_19,23,19.0,2019-01-20
2018_19,24,19.0,2019-01-29
2018_19,25,19.0,2019-02-02
2018_19,26,19.0,2019-02-09
2018_19,27,19.0,2019-02-22
2018_19,28,19.0,2019-02-27
2018_19,29,19.0,2019-03-03
2018_19,30,19.0,2019-03-09
2018_19,31,19.0,2019-03-17
2018_19,32,19.0,2019-03-30
2018_19,33,19.0,2019-04-02
2018_19,34,19.0,2019-04-13
2018_19,35,19.0,2019-04-20
2018_19,36,19.0,2019-04-27
2018_19,37,19.0,2019-05-04
2018_19,38,19.0,2019-05-12
2022_23,1,19.0,2022-08-06
2022_23,2,7.0,2022-08-13
2022_23,3,11.0,2022-08-20
2022_23,4,4.0,2022-08-27
2022_23,5,11.0,2022-08-30
2022_23,6,6.0,2022-09-03
2022_23,7,10.0,2022-09-16
2022_23,8,6.0,2022-10-01
2022_23,9,8.0,2022-10-09
2022_23,10,9.0,2022-10-15
2022_23,11,10.0,2022-10-20
2022_23,12,9.0,2022-10-23
2022_23,13,7.0,2022-10-29
2022_23,14,7.0,2022-11-05
2022_23,15,8.0,2022-11-13
2022_23,16,9.0,2022-12-26
2022_23,17,8.0,2022-12-31
2022_23,18,7.0,2023-01-03
2022_23,19,7.0,2023-01-12
2022_23,20,6.0,2023-01-15
2022_23,21,6.0,2023-01-23
2022_23,22,7.0,2023-02-03
2022_23,23,6.0,2023-02-11
2022_23,24,7.0,2023-02-18
2022_23,25,6.0,2023-02-24
2022_23,26,6.0,2023-03-06
2022_23,27,7.0,2023-03-12
2022_23,28,8.0,2023-04-01
2022_23,29,10.0,2023-04-08
2022_23,30,10.0,2023-04-15
2022_23,31,10.0,2023-04-22
2022_23,32,9.0,2023-04-25
2022_23,33,9.0,2023-04-30
2022_23,34,10.0,2023-05-03
2022_23,35,10.0,2023-05-08
2022_23,36,10.0,2023-05-13
2022_23,37,9.0,2023-05-20
2022_23,38,10.0,2023-05-28
2023_24,1,10.0,2023-08-12
2023_24,2,6.0,2023-08-19
2023_24,3,11.0,2023-08-26
2023_24,4,11.0,2023-09-02
2023_24,5,13.0,2023-09-16
2023_24,6,9.0,2023-09-23
2023_24,7,10.0,2023-10-02
2023_24,8,13.0,2023-10-07
2023_24,9,12.0,2023-10-23
2023_24,10,13.0,2023-10-29
2023_24,11,14.0,2023-11-04
2023_24,12,14.0,2023-11-12
2023_24,13,16.0,2023-11-27
2023_24,14,14.0,2023-12-03
2023_24,15,15.0,2023-12-06
2023_24,16,12.0,2023-12-10
2023_24,17,11.0,2023-12-16
2023_24,18,12.0,2023-12-23
2023_24,19,13.0,2023-12-26
2023_24,20,14.0,2023-12-31
2023_24,21,14.0,2024-01-13
2023_24,22,14.0,2024-01-30
2023_24,23,13.0,2024-02-03
2023_24,24,13.0,2024-02-10
2023_24,25,12.0,2024-02-17
2023_24,26,13.0,2024-02-24
2023_24,27,12.0,2024-03-02
2023_24,28,12.0,2024-03-09
2023_24,29,12.0,2024-03-16
2023_24,30,12.0,2024-03-30
2023_24,31,12.0,2024-04-02
2023_24,32,13.0,2024-04-06
2023_24,33,13.0,2024-04-14
2023_24,34,12.0,2024-04-21
2023_24,35,12.0,2024-04-27
2023_24,36,14.0,2024-05-04
2023_24,37,13.0,2024-05-11
2023_24,38,15.0,2024-05-19
